 Inner phase shift
   8.9509612349278588E-003
 Coulomb phase shift
   0.0000000000000000     
 #       R              P(R)            Q(R)
   8.93716580E-05  0.00000000E+00  0.00000000E+00
   9.12224510E-05  0.00000000E+00  0.00000000E+00
   9.31094800E-05  0.00000000E+00  0.00000000E+00
   9.50334550E-05  0.00000000E+00  0.00000000E+00
   9.69950990E-05  0.00000000E+00  0.00000000E+00
   9.89951510E-05  0.00000000E+00  0.00000000E+00
   1.01034360E-04  0.00000000E+00  0.00000000E+00
   1.03113500E-04  0.00000000E+00  0.00000000E+00
   1.05233340E-04  0.00000000E+00  0.00000000E+00
   1.07394690E-04  0.00000000E+00  0.00000000E+00
   1.09598360E-04  0.00000000E+00  0.00000000E+00
   1.11845170E-04  0.00000000E+00  0.00000000E+00
   1.14135970E-04  0.00000000E+00  0.00000000E+00
   1.16471620E-04  0.00000000E+00  0.00000000E+00
   1.18853000E-04  0.00000000E+00  0.00000000E+00
   1.21281010E-04  0.00000000E+00  0.00000000E+00
   1.23756560E-04  0.00000000E+00  0.00000000E+00
   1.26280570E-04  0.00000000E+00  0.00000000E+00
   1.28854000E-04  0.00000000E+00  0.00000000E+00
   1.31477820E-04  0.00000000E+00  0.00000000E+00
   1.34153010E-04  0.00000000E+00  0.00000000E+00
   1.36880580E-04  0.00000000E+00  0.00000000E+00
   1.39661540E-04  0.00000000E+00  0.00000000E+00
   1.42496960E-04  0.00000000E+00  0.00000000E+00
   1.45387890E-04  0.00000000E+00  0.00000000E+00
   1.48335430E-04  0.00000000E+00  0.00000000E+00
   1.51340670E-04  0.00000000E+00  0.00000000E+00
   1.54404750E-04  0.00000000E+00  0.00000000E+00
   1.57528830E-04  0.00000000E+00  0.00000000E+00
   1.60714070E-04  0.00000000E+00  0.00000000E+00
   1.63961670E-04  0.00000000E+00  0.00000000E+00
   1.67272860E-04  0.00000000E+00  0.00000000E+00
   1.70648870E-04  0.00000000E+00  0.00000000E+00
   1.74090990E-04  0.00000000E+00  0.00000000E+00
   1.77600500E-04  0.00000000E+00  0.00000000E+00
   1.81178720E-04  0.00000000E+00  0.00000000E+00
   1.84827000E-04  0.00000000E+00  0.00000000E+00
   1.88546710E-04  0.00000000E+00  0.00000000E+00
   1.92339240E-04  0.00000000E+00  0.00000000E+00
   1.96206030E-04  0.00000000E+00  0.00000000E+00
   2.00148530E-04  0.00000000E+00  0.00000000E+00
   2.04168220E-04  0.00000000E+00  0.00000000E+00
   2.08266600E-04  0.00000000E+00  0.00000000E+00
   2.12445230E-04  0.00000000E+00  0.00000000E+00
   2.16705670E-04  0.00000000E+00  0.00000000E+00
   2.21049530E-04  0.00000000E+00  0.00000000E+00
   2.25478430E-04  0.00000000E+00  0.00000000E+00
   2.29994050E-04  0.00000000E+00  0.00000000E+00
   2.34598080E-04  0.00000000E+00  0.00000000E+00
   2.39292250E-04  0.00000000E+00  0.00000000E+00
   2.44078320E-04  0.00000000E+00  0.00000000E+00
   2.48958100E-04  0.00000000E+00  0.00000000E+00
   2.53933420E-04  0.00000000E+00  0.00000000E+00
   2.59006150E-04  0.00000000E+00  0.00000000E+00
   2.64178200E-04  0.00000000E+00  0.00000000E+00
   2.69451510E-04  0.00000000E+00  0.00000000E+00
   2.74828070E-04  0.00000000E+00  0.00000000E+00
   2.80309890E-04  0.00000000E+00  0.00000000E+00
   2.85899040E-04  0.00000000E+00  0.00000000E+00
   2.91597620E-04  0.00000000E+00  0.00000000E+00
   2.97407770E-04  0.00000000E+00  0.00000000E+00
   3.03331670E-04  0.00000000E+00  0.00000000E+00
   3.09371560E-04  0.00000000E+00  0.00000000E+00
   3.15529700E-04  0.00000000E+00  0.00000000E+00
   3.21808410E-04  0.00000000E+00  0.00000000E+00
   3.28210040E-04  0.00000000E+00  0.00000000E+00
   3.34737010E-04  0.00000000E+00  0.00000000E+00
   3.41391780E-04  0.00000000E+00  0.00000000E+00
   3.48176830E-04  0.00000000E+00  0.00000000E+00
   3.55094720E-04  0.00000000E+00  0.00000000E+00
   3.62148060E-04  0.00000000E+00  0.00000000E+00
   3.69339490E-04  0.00000000E+00  0.00000000E+00
   3.76671730E-04  0.00000000E+00  0.00000000E+00
   3.84147510E-04  0.00000000E+00  0.00000000E+00
   3.91769660E-04  0.00000000E+00  0.00000000E+00
   3.99541040E-04  0.00000000E+00  0.00000000E+00
   4.07464580E-04  0.00000000E+00  0.00000000E+00
   4.15543240E-04  0.00000000E+00  0.00000000E+00
   4.23780080E-04  0.00000000E+00  0.00000000E+00
   4.32178170E-04  0.00000000E+00  0.00000000E+00
   4.40740700E-04  0.00000000E+00  0.00000000E+00
   4.49470860E-04  0.00000000E+00  0.00000000E+00
   4.58371940E-04  0.00000000E+00  0.00000000E+00
   4.67447300E-04  0.00000000E+00  0.00000000E+00
   4.76700340E-04  0.00000000E+00  0.00000000E+00
   4.86134530E-04  0.00000000E+00  0.00000000E+00
   4.95753440E-04  0.00000000E+00  0.00000000E+00
   5.05560660E-04  0.00000000E+00  0.00000000E+00
   5.15559900E-04  0.00000000E+00  0.00000000E+00
   5.25754900E-04  0.00000000E+00  0.00000000E+00
   5.36149510E-04  0.00000000E+00  0.00000000E+00
   5.46747630E-04  0.00000000E+00  0.00000000E+00
   5.57553230E-04  0.00000000E+00  0.00000000E+00
   5.68570400E-04  0.00000000E+00  0.00000000E+00
   5.79803260E-04  0.00000000E+00  0.00000000E+00
   5.91256050E-04  0.00000000E+00  0.00000000E+00
   6.02933050E-04  0.00000000E+00  0.00000000E+00
   6.14838680E-04  0.00000000E+00  0.00000000E+00
   6.26977390E-04  0.00000000E+00  0.00000000E+00
   6.39353760E-04  0.00000000E+00  0.00000000E+00
   6.51972440E-04  0.00000000E+00  0.00000000E+00
   6.64838160E-04  0.00000000E+00  0.00000000E+00
   6.77955780E-04  0.00000000E+00  0.00000000E+00
   6.91330210E-04  0.00000000E+00  0.00000000E+00
   7.04966490E-04  0.00000000E+00  0.00000000E+00
   7.18869740E-04  0.00000000E+00  0.00000000E+00
   7.33045190E-04  0.00000000E+00  0.00000000E+00
   7.47498170E-04  0.00000000E+00  0.00000000E+00
   7.62234110E-04  0.00000000E+00  0.00000000E+00
   7.77258550E-04  0.00000000E+00  0.00000000E+00
   7.92577130E-04  0.00000000E+00  0.00000000E+00
   8.08195630E-04  0.00000000E+00  0.00000000E+00
   8.24119900E-04  0.00000000E+00  0.00000000E+00
   8.40355930E-04  0.00000000E+00  0.00000000E+00
   8.56909840E-04  0.00000000E+00  0.00000000E+00
   8.73787830E-04  0.00000000E+00  0.00000000E+00
   8.90996260E-04  0.00000000E+00  0.00000000E+00
   9.08541590E-04  0.00000000E+00  0.00000000E+00
   9.26430420E-04  0.00000000E+00  0.00000000E+00
   9.44669470E-04  0.00000000E+00  0.00000000E+00
   9.63265610E-04  0.00000000E+00  0.00000000E+00
   9.82225810E-04  0.00000000E+00  0.00000000E+00
   1.00155720E-03  0.00000000E+00  0.00000000E+00
   1.02126710E-03  0.00000000E+00  0.00000000E+00
   1.04136280E-03  0.00000000E+00  0.00000000E+00
   1.06185200E-03  0.00000000E+00  0.00000000E+00
   1.08274230E-03  0.00000000E+00  0.00000000E+00
   1.10404150E-03  0.00000000E+00  0.00000000E+00
   1.12575780E-03  0.00000000E+00  0.00000000E+00
   1.14789920E-03  0.00000000E+00  0.00000000E+00
   1.17047410E-03  0.00000000E+00  0.00000000E+00
   1.19349090E-03  0.00000000E+00  0.00000000E+00
   1.21695830E-03  0.00000000E+00  0.00000000E+00
   1.24088520E-03  0.00000000E+00  0.00000000E+00
   1.26528050E-03  0.00000000E+00  0.00000000E+00
   1.29015340E-03  0.00000000E+00  0.00000000E+00
   1.31551320E-03  0.00000000E+00  0.00000000E+00
   1.34136950E-03  0.00000000E+00  0.00000000E+00
   1.36773200E-03  0.00000000E+00  0.00000000E+00
