 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   4.4693719000E-05 -4.0860400000E+01 -4.0860399764E+01  5.7767E-09
   4.5669759000E-05 -4.1661945000E+01 -4.1661945200E+01  4.8050E-09
   4.6664909000E-05 -4.2473129000E+01 -4.2473128826E+01  4.0904E-09
   4.7679543000E-05 -4.3293764000E+01 -4.3293763998E+01  3.6797E-11
   4.8714043000E-05 -4.4123637000E+01 -4.4123637294E+01  6.6545E-09
   4.9768797000E-05 -4.4962505000E+01 -4.4962504303E+01  1.5500E-08
   5.0844203000E-05 -4.5810095000E+01 -4.5810095873E+01  1.9056E-08
   5.1940664000E-05 -4.6666103000E+01 -4.6666102207E+01  1.7001E-08
   5.3058592000E-05 -4.7530186000E+01 -4.7530186576E+01  1.2129E-08
   5.4198409000E-05 -4.8401969000E+01 -4.8401968512E+01  1.0081E-08
   5.5360542000E-05 -4.9281032000E+01 -4.9281032177E+01  3.5937E-09
   5.6545429000E-05 -5.0166917000E+01 -5.0166916987E+01  2.6511E-10
   5.7753514000E-05 -5.1059118000E+01 -5.1059118137E+01  2.6894E-09
   5.8985253000E-05 -5.1957082000E+01 -5.1957081216E+01  1.5098E-08
   6.0241109000E-05 -5.2860203000E+01 -5.2860204032E+01  1.9517E-08
   6.1521552000E-05 -5.3767823000E+01 -5.3767821875E+01  2.0926E-08
   6.2827066000E-05 -5.4679223000E+01 -5.4679223512E+01  9.3592E-09
   6.4158140000E-05 -5.5593625000E+01 -5.5593624772E+01  4.1069E-09
   6.5515276000E-05 -5.6510185000E+01 -5.6510184512E+01  8.6413E-09
   6.6898983000E-05 -5.7427988000E+01 -5.7427988226E+01  3.9286E-09
   6.8309781000E-05 -5.8346049000E+01 -5.8346048621E+01  6.4889E-09
   6.9748202000E-05 -5.9263304000E+01 -5.9263303344E+01  1.1066E-08
   7.1214786000E-05 -6.0178607000E+01 -6.0178606861E+01  2.3135E-09
   7.2710084000E-05 -6.1090730000E+01 -6.1090729636E+01  5.9581E-09
   7.4234658000E-05 -6.1998354000E+01 -6.1998352947E+01  1.6992E-08
   7.5789083000E-05 -6.2900067000E+01 -6.2900066476E+01  8.3358E-09
   7.7373941000E-05 -6.3794361000E+01 -6.3794359772E+01  1.9243E-08
   7.8989830000E-05 -6.4679630000E+01 -6.4679628501E+01  2.3178E-08
   8.0637356000E-05 -6.5554166000E+01 -6.5554164709E+01  1.9688E-08
   8.2317139000E-05 -6.6416161000E+01 -6.6416158388E+01  3.9323E-08
   8.4029810000E-05 -6.7263702000E+01 -6.7263699441E+01  3.8046E-08
   8.5776014000E-05 -6.8094780000E+01 -6.8094776410E+01  5.2719E-08
   8.7556407000E-05 -6.8907290000E+01 -6.8907285556E+01  6.4495E-08
   8.9371658000E-05 -6.9699041000E+01 -6.9699035389E+01  8.0509E-08
   9.1222451000E-05 -7.0467769000E+01 -7.0467761629E+01  1.0460E-07
   9.3109480000E-05 -7.1211153000E+01 -7.1211144627E+01  1.1758E-07
   9.5033455000E-05 -7.1926843000E+01 -7.1926831690E+01  1.5724E-07
   9.6995099000E-05 -7.2612486000E+01 -7.2612472262E+01  1.8919E-07
   9.8995151000E-05 -7.3265774000E+01 -7.3265758397E+01  2.1297E-07
   1.0103436000E-04 -7.3884493000E+01 -7.3884472388E+01  2.7898E-07
   1.0311350000E-04 -7.4466585000E+01 -7.4466563706E+01  2.8596E-07
   1.0523334000E-04 -7.5010223000E+01 -7.5010196796E+01  3.4934E-07
   1.0739469000E-04 -7.5513891000E+01 -7.5513863080E+01  3.6974E-07
   1.0959836000E-04 -7.5976471000E+01 -7.5976442834E+01  3.7072E-07
   1.1184517000E-04 -7.6397330000E+01 -7.6397302008E+01  3.6640E-07
   1.1413597000E-04 -7.6776391000E+01 -7.6776366380E+01  3.2067E-07
   1.1647162000E-04 -7.7114186000E+01 -7.7114167541E+01  2.3937E-07
   1.1885300000E-04 -7.7411879000E+01 -7.7411868779E+01  1.3203E-07
   1.2128101000E-04 -7.7671245000E+01 -7.7671245357E+01  4.5963E-09
   1.2375656000E-04 -7.7894609000E+01 -7.7894621055E+01  1.5476E-07
   1.2628057000E-04 -7.8084745000E+01 -7.8084767801E+01  2.9201E-07
   1.2885400000E-04 -7.8244747000E+01 -7.8244780333E+01  4.2601E-07
   1.3147782000E-04 -7.8377885000E+01 -7.8377924756E+01  5.0724E-07
   1.3415301000E-04 -7.8487461000E+01 -7.8487506695E+01  5.8219E-07
   1.3688058000E-04 -7.8576691000E+01 -7.8576737534E+01  5.9221E-07
   1.3966154000E-04 -7.8648599000E+01 -7.8648645873E+01  5.9598E-07
   1.4249696000E-04 -7.8705956000E+01 -7.8706000465E+01  5.6495E-07
   1.4538789000E-04 -7.8751234000E+01 -7.8751273974E+01  5.0760E-07
   1.4833543000E-04 -7.8786594000E+01 -7.8786631314E+01  4.7361E-07
   1.5134067000E-04 -7.8813895000E+01 -7.8813926092E+01  3.9450E-07
   1.5440475000E-04 -7.8834703000E+01 -7.8834730532E+01  3.4923E-07
   1.5752883000E-04 -7.8850326000E+01 -7.8850348879E+01  2.9016E-07
   1.6071407000E-04 -7.8861840000E+01 -7.8861859291E+01  2.4462E-07
   1.6396167000E-04 -7.8870121000E+01 -7.8870136530E+01  1.9691E-07
   1.6727286000E-04 -7.8875874000E+01 -7.8875886756E+01  1.6172E-07
   1.7064887000E-04 -7.8879663000E+01 -7.8879673355E+01  1.3127E-07
   1.7409099000E-04 -7.8881935000E+01 -7.8881943341E+01  1.0575E-07
   1.7760050000E-04 -7.8883040000E+01 -7.8883045982E+01  7.5840E-08
   1.8117872000E-04 -7.8883250000E+01 -7.8883255699E+01  7.2245E-08
   1.8482700000E-04 -7.8882778000E+01 -7.8882781583E+01  4.5424E-08
   1.8854671000E-04 -7.8881784000E+01 -7.8881787153E+01  3.9976E-08
   1.9233924000E-04 -7.8880391000E+01 -7.8880393238E+01  2.8378E-08
   1.9620603000E-04 -7.8878692000E+01 -7.8878693952E+01  2.4744E-08
   2.0014853000E-04 -7.8876757000E+01 -7.8876758194E+01  1.5142E-08
   2.0416822000E-04 -7.8874637000E+01 -7.8874638138E+01  1.4422E-08
   2.0826660000E-04 -7.8872370000E+01 -7.8872370631E+01  8.0012E-09
   2.1244523000E-04 -7.8869983000E+01 -7.8869983566E+01  7.1799E-09
   2.1670567000E-04 -7.8867496000E+01 -7.8867496564E+01  7.1480E-09
   2.2104953000E-04 -7.8864923000E+01 -7.8864922920E+01  1.0163E-09
   2.2547843000E-04 -7.8862273000E+01 -7.8862273670E+01  8.4956E-09
   2.2999405000E-04 -7.8859554000E+01 -7.8859553834E+01  2.1005E-09
   2.3459808000E-04 -7.8856769000E+01 -7.8856769186E+01  2.3602E-09
   2.3929225000E-04 -7.8853921000E+01 -7.8853921025E+01  3.2126E-10
   2.4407832000E-04 -7.8851012000E+01 -7.8851012255E+01  3.2333E-09
   2.4895810000E-04 -7.8848043000E+01 -7.8848042841E+01  2.0203E-09
   2.5393342000E-04 -7.8845013000E+01 -7.8845012981E+01  2.4433E-10
   2.5900615000E-04 -7.8841922000E+01 -7.8841922298E+01  3.7833E-09
   2.6417820000E-04 -7.8838770000E+01 -7.8838769656E+01  4.3683E-09
   2.6945151000E-04 -7.8835555000E+01 -7.8835555239E+01  3.0345E-09
   2.7482807000E-04 -7.8832277000E+01 -7.8832276842E+01  2.0085E-09
   2.8030989000E-04 -7.8828935000E+01 -7.8828935395E+01  5.0060E-09
   2.8589904000E-04 -7.8825528000E+01 -7.8825527359E+01  8.1258E-09
   2.9159762000E-04 -7.8822053000E+01 -7.8822053502E+01  6.3696E-09
   2.9740777000E-04 -7.8818511000E+01 -7.8818510933E+01  8.5264E-10
   3.0333167000E-04 -7.8814900000E+01 -7.8814899696E+01  3.8626E-09
   3.0937156000E-04 -7.8811218000E+01 -7.8811218477E+01  6.0509E-09
   3.1552970000E-04 -7.8807465000E+01 -7.8807464629E+01  4.7100E-09
   3.2180841000E-04 -7.8803638000E+01 -7.8803638125E+01  1.5908E-09
   3.2821004000E-04 -7.8799736000E+01 -7.8799735882E+01  1.5024E-09
   3.3473701000E-04 -7.8795758000E+01 -7.8795758368E+01  4.6685E-09
   3.4139178000E-04 -7.8791703000E+01 -7.8791702441E+01  7.0959E-09
   3.4817683000E-04 -7.8787568000E+01 -7.8787568602E+01  7.6346E-09
   3.5509472000E-04 -7.8783353000E+01 -7.8783352397E+01  7.6500E-09
   3.6214806000E-04 -7.8779055000E+01 -7.8779055550E+01  6.9752E-09
   3.6933949000E-04 -7.8774674000E+01 -7.8774673652E+01  4.4128E-09
   3.7667173000E-04 -7.8770207000E+01 -7.8770206968E+01  4.0717E-10
   3.8414751000E-04 -7.8765653000E+01 -7.8765653508E+01  6.4522E-09
   3.9176966000E-04 -7.8761011000E+01 -7.8761010186E+01  1.0339E-08
   3.9954104000E-04 -7.8756277000E+01 -7.8756277657E+01  8.3402E-09
   4.0746458000E-04 -7.8751452000E+01 -7.8751451911E+01  1.1317E-09
   4.1554324000E-04 -7.8746533000E+01 -7.8746532585E+01  5.2656E-09
   4.2378008000E-04 -7.8741517000E+01 -7.8741517526E+01  6.6812E-09
   4.3217817000E-04 -7.8736404000E+01 -7.8736403553E+01  5.6821E-09
   4.4074070000E-04 -7.8731191000E+01 -7.8731191420E+01  5.3319E-09
   4.4947086000E-04 -7.8725877000E+01 -7.8725876578E+01  5.3619E-09
   4.5837194000E-04 -7.8720459000E+01 -7.8720459414E+01  5.2626E-09
   4.6744730000E-04 -7.8714936000E+01 -7.8714935594E+01  5.1610E-09
   4.7670034000E-04 -7.8709305000E+01 -7.8709305358E+01  4.5475E-09
   4.8613453000E-04 -7.8703565000E+01 -7.8703564797E+01  2.5766E-09
   4.9575344000E-04 -7.8697713000E+01 -7.8697713003E+01  3.4882E-11
   5.0556066000E-04 -7.8691747000E+01 -7.8691747182E+01  2.3156E-09
   5.1555990000E-04 -7.8685665000E+01 -7.8685664657E+01  4.3637E-09
   5.2575490000E-04 -7.8679464000E+01 -7.8679464345E+01  4.3902E-09
   5.3614951000E-04 -7.8673143000E+01 -7.8673142806E+01  2.4704E-09
   5.4674763000E-04 -7.8666699000E+01 -7.8666698978E+01  2.7648E-10
