 #  DHFS: self-consistent potential and electron density.     ALPHA = 1.500000E+00
 #  Z =  79,  Aw = 1.969665E+02 g/mol,  number of electrons =  7.900000E+01     (Vext = Vnuc+Vel)
 #      R          R*Vext(R)      R*Vnuc(R)      R*Vel(R)       R*Vex(R)        rho(R)
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1810695E+06
  1.3030692E-05 -1.2449960E+01 -1.2457916E+01  7.9561593E-03 -2.4945433E-03  2.1768352E+06
  1.3386798E-05 -1.2787356E+01 -1.2795530E+01  8.1735864E-03 -2.5626230E-03  2.1766015E+06
  1.3749876E-05 -1.3131122E+01 -1.3139517E+01  8.3952706E-03 -2.6320280E-03  2.1763567E+06
  1.4120062E-05 -1.3481365E+01 -1.3489986E+01  8.6212951E-03 -2.7027839E-03  2.1761005E+06
  1.4497497E-05 -1.3838197E+01 -1.3847049E+01  8.8517449E-03 -2.7749163E-03  2.1758324E+06
  1.4882321E-05 -1.4201727E+01 -1.4210814E+01  9.0867067E-03 -2.8484519E-03  2.1755519E+06
  1.5274681E-05 -1.4572068E+01 -1.4581394E+01  9.3262687E-03 -2.9234173E-03  2.1752585E+06
  1.5674722E-05 -1.4949333E+01 -1.4958903E+01  9.5705211E-03 -2.9998400E-03  2.1749516E+06
  1.6082595E-05 -1.5333634E+01 -1.5343454E+01  9.8195557E-03 -3.0777477E-03  2.1746306E+06
  1.6498455E-05 -1.5725087E+01 -1.5735161E+01  1.0073466E-02 -3.1571689E-03  2.1742951E+06
  1.6922456E-05 -1.6123807E+01 -1.6134140E+01  1.0332348E-02 -3.2381324E-03  2.1739444E+06
  1.7354759E-05 -1.6529910E+01 -1.6540506E+01  1.0596298E-02 -3.3206674E-03  2.1735778E+06
  1.7795527E-05 -1.6943512E+01 -1.6954378E+01  1.0865416E-02 -3.4048040E-03  2.1731948E+06
  1.8244924E-05 -1.7364731E+01 -1.7375871E+01  1.1139803E-02 -3.4905725E-03  2.1727946E+06
  1.8703120E-05 -1.7793683E+01 -1.7805103E+01  1.1419562E-02 -3.5780039E-03  2.1723765E+06
  1.9170287E-05 -1.8230487E+01 -1.8242192E+01  1.1704799E-02 -3.6671297E-03  2.1719399E+06
  1.9646600E-05 -1.8675261E+01 -1.8687256E+01  1.1995620E-02 -3.7579818E-03  2.1714840E+06
  2.0132240E-05 -1.9128122E+01 -1.9140414E+01  1.2292135E-02 -3.8505931E-03  2.1710079E+06
  2.0627388E-05 -1.9589188E+01 -1.9601782E+01  1.2594456E-02 -3.9449965E-03  2.1705110E+06
  2.1132231E-05 -2.0058577E+01 -2.0071480E+01  1.2902695E-02 -4.0412258E-03  2.1699923E+06
  2.1646957E-05 -2.0536406E+01 -2.0549623E+01  1.3216970E-02 -4.1393155E-03  2.1694509E+06
