 Inner phase shift
  -7.4436630690042332E-002
 Coulomb phase shift
   6.6559957353976501E-005
 #       R              P(R)            Q(R)
   1.28545212E-01  2.87719940E-60  8.21494939E-60
   1.31729599E-01  1.00117626E-59  2.78922188E-59
   1.34960562E-01  3.44129651E-59  9.35699563E-59
   1.38237851E-01  1.16850912E-58  3.10164348E-58
   1.41561206E-01  3.91985364E-58  1.01596334E-57
   1.44930348E-01  1.29917086E-57  3.28870701E-57
   1.48344986E-01  4.25455253E-57  1.05211972E-56
   1.51804815E-01  1.37678703E-56  3.32683521E-56
   1.55309517E-01  4.40291574E-56  1.03982032E-55
   1.58858764E-01  1.39159076E-55  3.21278924E-55
   1.62452213E-01  4.34728721E-55  9.81387172E-55
   1.66089515E-01  1.34245588E-54  2.96395193E-54
   1.69770309E-01  4.09823591E-54  8.85144311E-54
   1.73494225E-01  1.23694534E-53  2.61402455E-53
   1.77260886E-01  3.69150093E-53  7.63482910E-53
   1.81069907E-01  1.08942552E-52  2.20559280E-52
   1.84920894E-01  3.17964150E-52  6.30275979E-52
   1.88813450E-01  9.17887582E-52  1.78180157E-51
   1.92747169E-01  2.62105952E-51  4.98374104E-51
   1.96721644E-01  7.40433782E-51  1.37931705E-50
   2.00736459E-01  2.06949288E-50  3.77772823E-50
   2.04791197E-01  5.72343668E-50  1.02400290E-49
   2.08885437E-01  1.56643480E-49  2.74739951E-49
   2.13018754E-01  4.24304691E-49  7.29691365E-49
   2.17190722E-01  1.13763062E-48  1.91866980E-48
   2.21400913E-01  3.01947004E-48  4.99519001E-48
   2.25648897E-01  7.93440628E-48  1.28778034E-47
   2.29934243E-01  2.06443292E-47  3.28788751E-47
   2.34256520E-01  5.31910040E-47  8.31428588E-47
   2.38615295E-01  1.35729780E-46  2.08263556E-46
   2.43010137E-01  3.43052121E-46  5.16808205E-46
   2.47440615E-01  8.58897783E-46  1.27063476E-45
   2.51906299E-01  2.13043150E-45  3.09552706E-45
