 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   1.0507346915E-01  8.4819787287E+00  8.4819652932E+00  1.5840E-06
   1.0898700796E-01  8.4068106690E+00  8.4068412980E+00  3.6433E-06
   1.1140700609E-01  8.3609409983E+00  8.3609311675E+00  1.1758E-06
   1.1268534733E-01  8.3368421579E+00  8.3368407562E+00  1.6814E-07
   1.1547939918E-01  8.2845088527E+00  8.2845390634E+00  3.6466E-06
   1.1999784496E-01  8.2011295986E+00  8.2011157908E+00  1.6836E-06
   1.2546065582E-01  8.1023038016E+00  8.1023105976E+00  8.3878E-07
   1.3092346669E-01  8.0055360440E+00  8.0055229431E+00  1.6365E-06
   1.3544191247E-01  7.9269748091E+00  7.9270036519E+00  3.6386E-06
   1.3823596432E-01  7.8790379134E+00  7.8790289680E+00  1.1353E-06
   1.3969481510E-01  7.8541496388E+00  7.8541479364E+00  2.1674E-07
   1.4285106875E-01  7.8006525292E+00  7.8006809352E+00  3.6415E-06
   1.4795525498E-01  7.7153975497E+00  7.7153842705E+00  1.7211E-06
   1.5412622733E-01  7.6143161288E+00  7.6143218808E+00  7.5542E-07
   1.6029719968E-01  7.5153134988E+00  7.5153018413E+00  1.5512E-06
   1.6540138591E-01  7.4349285235E+00  7.4349534899E+00  3.3580E-06
   1.6855763956E-01  7.3858794429E+00  7.3858720032E+00  1.0073E-06
   1.7018900034E-01  7.3606785271E+00  7.3606766996E+00  2.4828E-07
   1.7368667948E-01  7.3070083445E+00  7.3070329468E+00  3.3669E-06
   1.7934300742E-01  7.2214753515E+00  7.2214638131E+00  1.5978E-06
   1.8618152030E-01  7.1200840143E+00  7.1200889704E+00  6.9607E-07
   1.9302003318E-01  7.0208299747E+00  7.0208202292E+00  1.3881E-06
   1.9867636113E-01  6.9403021549E+00  6.9403231934E+00  3.0313E-06
   2.0217404027E-01  6.8912012264E+00  6.8911952951E+00  8.6070E-07
   2.0396640084E-01  6.8662074296E+00  6.8662055441E+00  2.7461E-07
   2.0777933438E-01  6.8134259504E+00  6.8134467524E+00  3.0531E-06
   2.1394548103E-01  6.7293733114E+00  6.7293639213E+00  1.3954E-06
   2.2140036585E-01  6.6298574212E+00  6.6298622081E+00  7.2202E-07
   2.2885525067E-01  6.5325841600E+00  6.5325760014E+00  1.2489E-06
   2.3502139732E-01  6.4537767595E+00  6.4537952315E+00  2.8622E-06
   2.3883433086E-01  6.4057757733E+00  6.4057709262E+00  7.5666E-07
   2.4077428443E-01  6.3815339693E+00  6.3815319610E+00  3.1470E-07
   2.4487396031E-01  6.3307084141E+00  6.3307267299E+00  2.8932E-06
   2.5150381694E-01  6.2498302519E+00  6.2498222045E+00  1.2876E-06
   2.5951932813E-01  6.1541563577E+00  6.1541608687E+00  7.3301E-07
   2.6753483933E-01  6.0607061759E+00  6.0606984200E+00  1.2797E-06
   2.7416469595E-01  5.9850274928E+00  5.9850450602E+00  2.9352E-06
   2.7826437183E-01  5.9389388541E+00  5.9389345399E+00  7.2641E-07
   2.8033791570E-01  5.9158002217E+00  5.9157979618E+00  3.8202E-07
   2.8469573231E-01  5.8675473136E+00  5.8675647525E+00  2.9721E-06
   2.9174304536E-01  5.7907304088E+00  5.7907223927E+00  1.3843E-06
   3.0026326229E-01  5.6997909010E+00  5.6997948906E+00  6.9995E-07
   3.0878347922E-01  5.6108721963E+00  5.6108639320E+00  1.4729E-06
   3.1583079227E-01  5.5387849270E+00  5.5388029447E+00  3.2530E-06
   3.2018860887E-01  5.4948463876E+00  5.4948421758E+00  7.6650E-07
   3.2238205066E-01  5.4728804622E+00  5.4728778658E+00  4.7441E-07
   3.2697076166E-01  5.4272499996E+00  5.4272679381E+00  3.3053E-06
   3.3439146927E-01  5.3545293673E+00  5.3545209205E+00  1.5775E-06
   3.4336312104E-01  5.2683187553E+00  5.2683228105E+00  7.6973E-07
   3.5233477282E-01  5.1839072712E+00  5.1838984581E+00  1.7001E-06
   3.5975548043E-01  5.1153993957E+00  5.1154186053E+00  3.7553E-06
   3.6434419142E-01  5.0736141820E+00  5.0736098487E+00  8.5409E-07
   3.6664469771E-01  5.0527967478E+00  5.0527938140E+00  5.8064E-07
   3.7143920496E-01  5.0096922450E+00  5.0097114131E+00  3.8262E-06
   3.7919271929E-01  4.9409582062E+00  4.9409493554E+00  1.7913E-06
   3.8856673512E-01  4.8594281392E+00  4.8594327060E+00  9.3977E-07
   3.9794075094E-01  4.7795729022E+00  4.7795637158E+00  1.9220E-06
   4.0569426527E-01  4.7147588905E+00  4.7147793173E+00  4.3325E-06
   4.1048877252E-01  4.6752304168E+00  4.6752259140E+00  9.6311E-07
   4.1288464499E-01  4.6555994685E+00  4.6555962628E+00  6.8858E-07
   4.1786233196E-01  4.6150751197E+00  4.6150955126E+00  4.4188E-06
